id,project_id,user_id,vote_type,created_at
cccccccc-cccc-cccc-cccc-cccccccccccc,11111111-1111-1111-1111-111111111111,00000000-0000-0000-0000-000000000002,upvote,2024-02-11T10:30:00Z
cccccccc-cccc-cccc-cccc-cccccccccccd,11111111-1111-1111-1111-111111111111,00000000-0000-0000-0000-000000000003,upvote,2024-02-11T11:00:00Z
cccccccc-cccc-cccc-cccc-ccccccccccce,11111111-1111-1111-1111-111111111111,00000000-0000-0000-0000-000000000004,upvote,2024-02-11T12:00:00Z
cccccccc-cccc-cccc-cccc-cccccccccccf,11111111-1111-1111-1111-111111111112,00000000-0000-0000-0000-000000000001,upvote,2024-02-12T09:00:00Z
cccccccc-cccc-cccc-cccc-cccccccccccg,11111111-1111-1111-1111-111111111112,00000000-0000-0000-0000-000000000003,upvote,2024-02-12T10:00:00Z
cccccccc-cccc-cccc-cccc-ccccccccccch,11111111-1111-1111-1111-111111111112,00000000-0000-0000-0000-000000000009,upvote,2024-02-12T11:00:00Z
cccccccc-cccc-cccc-cccc-ccccccccccci,11111111-1111-1111-1111-111111111113,00000000-0000-0000-0000-000000000001,upvote,2024-02-13T08:00:00Z
cccccccc-cccc-cccc-cccc-cccccccccccj,11111111-1111-1111-1111-111111111113,00000000-0000-0000-0000-000000000005,upvote,2024-02-13T09:00:00Z
cccccccc-cccc-cccc-cccc-ccccccccccck,11111111-1111-1111-1111-111111111114,00000000-0000-0000-0000-000000000001,upvote,2024-02-14T10:00:00Z
cccccccc-cccc-cccc-cccc-cccccccccccl,11111111-1111-1111-1111-111111111114,00000000-0000-0000-0000-000000000005,upvote,2024-02-14T11:00:00Z
cccccccc-cccc-cccc-cccc-cccccccccccm,11111111-1111-1111-1111-111111111115,00000000-0000-0000-0000-000000000002,upvote,2024-02-15T09:00:00Z
cccccccc-cccc-cccc-cccc-cccccccccccn,11111111-1111-1111-1111-111111111115,00000000-0000-0000-0000-000000000006,upvote,2024-02-15T10:00:00Z
cccccccc-cccc-cccc-cccc-ccccccccccco,11111111-1111-1111-1111-111111111116,00000000-0000-0000-0000-000000000007,upvote,2024-02-16T08:00:00Z
cccccccc-cccc-cccc-cccc-cccccccccccp,11111111-1111-1111-1111-111111111116,00000000-0000-0000-0000-000000000008,upvote,2024-02-16T09:00:00Z
cccccccc-cccc-cccc-cccc-cccccccccccq,11111111-1111-1111-1111-111111111117,00000000-0000-0000-0000-000000000001,upvote,2024-02-17T10:00:00Z
cccccccc-cccc-cccc-cccc-cccccccccccr,11111111-1111-1111-1111-111111111117,00000000-0000-0000-0000-000000000006,upvote,2024-02-17T11:00:00Z
cccccccc-cccc-cccc-cccc-cccccccccccs,11111111-1111-1111-1111-111111111118,00000000-0000-0000-0000-000000000001,upvote,2024-02-18T09:00:00Z
cccccccc-cccc-cccc-cccc-ccccccccccct,11111111-1111-1111-1111-111111111118,00000000-0000-0000-0000-000000000012,upvote,2024-02-18T10:00:00Z
cccccccc-cccc-cccc-cccc-cccccccccccu,11111111-1111-1111-1111-111111111119,00000000-0000-0000-0000-000000000001,upvote,2024-02-19T08:00:00Z
cccccccc-cccc-cccc-cccc-cccccccccccv,11111111-1111-1111-1111-111111111120,00000000-0000-0000-0000-000000000002,upvote,2024-02-20T09:00:00Z
cccccccc-cccc-cccc-cccc-cccccccccccw,11111111-1111-1111-1111-111111111120,00000000-0000-0000-0000-000000000006,upvote,2024-02-20T10:00:00Z
cccccccc-cccc-cccc-cccc-cccccccccccx,11111111-1111-1111-1111-111111111121,00000000-0000-0000-0000-000000000001,upvote,2024-02-21T11:00:00Z
cccccccc-cccc-cccc-cccc-cccccccccccy,11111111-1111-1111-1111-111111111122,00000000-0000-0000-0000-000000000007,upvote,2024-02-22T08:00:00Z
cccccccc-cccc-cccc-cccc-cccccccccccz,11111111-1111-1111-1111-111111111123,00000000-0000-0000-0000-000000000001,upvote,2024-02-23T09:00:00Z
cccccccc-cccc-cccc-cccc-ccccccccccda,11111111-1111-1111-1111-111111111123,00000000-0000-0000-0000-000000000005,upvote,2024-02-23T10:00:00Z
cccccccc-cccc-cccc-cccc-ccccccccccdb,11111111-1111-1111-1111-111111111124,00000000-0000-0000-0000-000000000001,upvote,2024-02-24T08:00:00Z
cccccccc-cccc-cccc-cccc-ccccccccccdc,11111111-1111-1111-1111-111111111125,00000000-0000-0000-0000-000000000006,upvote,2024-02-25T09:00:00Z
cccccccc-cccc-cccc-cccc-ccccccccccdd,11111111-1111-1111-1111-111111111125,00000000-0000-0000-0000-000000000007,upvote,2024-02-25T10:00:00Z

