id,project_id,user_id,role,joined_at
aaaaaaaa-aaaa-aaaa-aaaa-aaaaaaaaaaaa,11111111-1111-1111-1111-111111111111,00000000-0000-0000-0000-000000000001,owner,2024-02-10T10:00:00Z
aaaaaaaa-aaaa-aaaa-aaaa-aaaaaaaaaaab,11111111-1111-1111-1111-111111111111,00000000-0000-0000-0000-000000000006,member,2024-02-11T11:00:00Z
aaaaaaaa-aaaa-aaaa-aaaa-aaaaaaaaaaac,11111111-1111-1111-1111-111111111111,00000000-0000-0000-0000-000000000007,member,2024-02-12T09:00:00Z
aaaaaaaa-aaaa-aaaa-aaaa-aaaaaaaaaaad,11111111-1111-1111-1111-111111111112,00000000-0000-0000-0000-000000000002,owner,2024-02-11T11:30:00Z
aaaaaaaa-aaaa-aaaa-aaaa-aaaaaaaaaaae,11111111-1111-1111-1111-111111111112,00000000-0000-0000-0000-000000000005,member,2024-02-12T10:00:00Z
aaaaaaaa-aaaa-aaaa-aaaa-aaaaaaaaaaaf,11111111-1111-1111-1111-111111111112,00000000-0000-0000-0000-000000000009,member,2024-02-13T08:00:00Z
aaaaaaaa-aaaa-aaaa-aaaa-aaaaaaaaaaag,11111111-1111-1111-1111-111111111113,00000000-0000-0000-0000-000000000003,owner,2024-02-12T09:15:00Z
aaaaaaaa-aaaa-aaaa-aaaa-aaaaaaaaaaah,11111111-1111-1111-1111-111111111113,00000000-0000-0000-0000-000000000019,member,2024-02-13T10:00:00Z
aaaaaaaa-aaaa-aaaa-aaaa-aaaaaaaaaaai,11111111-1111-1111-1111-111111111114,00000000-0000-0000-0000-000000000004,owner,2024-02-13T14:20:00Z
aaaaaaaa-aaaa-aaaa-aaaa-aaaaaaaaaaaj,11111111-1111-1111-1111-111111111114,00000000-0000-0000-0000-000000000014,member,2024-02-14T09:00:00Z
aaaaaaaa-aaaa-aaaa-aaaa-aaaaaaaaaaak,11111111-1111-1111-1111-111111111115,00000000-0000-0000-0000-000000000005,owner,2024-02-14T08:45:00Z
aaaaaaaa-aaaa-aaaa-aaaa-aaaaaaaaaaal,11111111-1111-1111-1111-111111111115,00000000-0000-0000-0000-000000000009,member,2024-02-15T10:00:00Z
aaaaaaaa-aaaa-aaaa-aaaa-aaaaaaaaaaam,11111111-1111-1111-1111-111111111116,00000000-0000-0000-0000-000000000006,owner,2024-02-15T12:00:00Z
aaaaaaaa-aaaa-aaaa-aaaa-aaaaaaaaaaan,11111111-1111-1111-1111-111111111116,00000000-0000-0000-0000-000000000013,member,2024-02-16T11:00:00Z
aaaaaaaa-aaaa-aaaa-aaaa-aaaaaaaaaaao,11111111-1111-1111-1111-111111111117,00000000-0000-0000-0000-000000000007,owner,2024-02-16T10:30:00Z
aaaaaaaa-aaaa-aaaa-aaaa-aaaaaaaaaaap,11111111-1111-1111-1111-111111111117,00000000-0000-0000-0000-000000000019,member,2024-02-17T09:00:00Z
aaaaaaaa-aaaa-aaaa-aaaa-aaaaaaaaaaaq,11111111-1111-1111-1111-111111111118,00000000-0000-0000-0000-000000000011,owner,2024-02-17T13:15:00Z
aaaaaaaa-aaaa-aaaa-aaaa-aaaaaaaaaaar,11111111-1111-1111-1111-111111111118,00000000-0000-0000-0000-000000000008,member,2024-02-18T10:00:00Z
aaaaaaaa-aaaa-aaaa-aaaa-aaaaaaaaaaas,11111111-1111-1111-1111-111111111119,00000000-0000-0000-0000-000000000012,owner,2024-02-18T08:20:00Z
aaaaaaaa-aaaa-aaaa-aaaa-aaaaaaaaaaat,11111111-1111-1111-1111-111111111120,00000000-0000-0000-0000-000000000013,owner,2024-02-19T10:45:00Z
aaaaaaaa-aaaa-aaaa-aaaa-aaaaaaaaaaau,11111111-1111-1111-1111-111111111120,00000000-0000-0000-0000-000000000015,member,2024-02-20T11:00:00Z
aaaaaaaa-aaaa-aaaa-aaaa-aaaaaaaaaaav,11111111-1111-1111-1111-111111111121,00000000-0000-0000-0000-000000000014,owner,2024-02-20T12:30:00Z
aaaaaaaa-aaaa-aaaa-aaaa-aaaaaaaaaaaw,11111111-1111-1111-1111-111111111121,00000000-0000-0000-0000-000000000004,member,2024-02-21T09:00:00Z
aaaaaaaa-aaaa-aaaa-aaaa-aaaaaaaaaaax,11111111-1111-1111-1111-111111111122,00000000-0000-0000-0000-000000000015,owner,2024-02-21T09:15:00Z
aaaaaaaa-aaaa-aaaa-aaaa-aaaaaaaaaaay,11111111-1111-1111-1111-111111111123,00000000-0000-0000-0000-000000000017,owner,2024-02-22T13:45:00Z
aaaaaaaa-aaaa-aaaa-aaaa-aaaaaaaaaaaz,11111111-1111-1111-1111-111111111123,00000000-0000-0000-0000-000000000002,member,2024-02-23T10:00:00Z
aaaaaaaa-aaaa-aaaa-aaaa-aaaaaaaaaaba,11111111-1111-1111-1111-111111111124,00000000-0000-0000-0000-000000000018,owner,2024-02-23T10:20:00Z
aaaaaaaa-aaaa-aaaa-aaaa-aaaaaaaaaabb,11111111-1111-1111-1111-111111111125,00000000-0000-0000-0000-000000000019,owner,2024-02-24T14:30:00Z

